collection,iso3_country,event_count,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count,,collection,iso3_country,event_count
gfd-events, HRV,33,,ifrcevent-events,ZAF,14,,,glide-events,DOM,36,,,idmc-gidd-events,CAN,93,,,,,,,idmc-idu-events,MNG,21,,pdc-events,HRV,13,,gdacs-events,ITA,137,,emdat-events,CHL,150,,desinventar-events,GUY,887
gfd-events, ALB,21,,ifrcevent-events,ARM,3,,,glide-events,HND,40,,,idmc-gidd-events,BRA,464,,,,,,,idmc-idu-events,CYP,13,,pdc-events,AUT,25,,gdacs-events,IRL,28,,emdat-events,ARG,178,,desinventar-events,NIC,1049
gfd-events, MKD,21,,ifrcevent-events,PNG,17,,,glide-events,HTI,62,,,idmc-gidd-events,PER,1378,,,,,,,idmc-idu-events,LKA,419,,pdc-events,ITA,43,,gdacs-events,LBY,8,,emdat-events,TZA,184,,desinventar-events,TUN,2145
gfd-events, BIH,27,,ifrcevent-events,NAM,14,,,glide-events,CUB,31,,,idmc-gidd-events,URY,52,,,,,,,idmc-idu-events,THA,48,,pdc-events,LBR,1,,gdacs-events,FIN,6,,emdat-events,EGY,245,,desinventar-events,TZA,100
gfd-events, SVN,30,,ifrcevent-events,BGD,50,,,glide-events,CRI,39,,,idmc-gidd-events,SOM,415,,,,,,,idmc-idu-events,PRT,55,,pdc-events,SLE,1,,gdacs-events,GAB,11,,emdat-events,NER,74,,desinventar-events,PSE,442
gfd-events,MDG,8,,ifrcevent-events,BLZ,10,,,glide-events,COL,89,,,idmc-gidd-events,ETH,92,,,,,,,idmc-idu-events,NPL,449,,pdc-events,TUR,20,,gdacs-events,UGA,106,,emdat-events,COL,338,,desinventar-events,ECU,762
gfd-events,IDN,41,,ifrcevent-events,KEN,57,,,glide-events,PAN,43,,,idmc-gidd-events,YEM,469,,,,,,,idmc-idu-events,GTM,188,,pdc-events,MOZ,3,,gdacs-events,TZA,241,,emdat-events,URY,50,,desinventar-events,ESP,2621
gfd-events,AUS,47,,ifrcevent-events,GTM,19,,,glide-events,VNM,162,,,idmc-gidd-events,KEN,39,,,,,,,idmc-idu-events,ZAF,77,,pdc-events,TZA,10,,gdacs-events,IRQ,30,,emdat-events,HND,111,,desinventar-events,TTO,529
gfd-events,COD,10,,ifrcevent-events,LSO,7,,,glide-events,ESP,27,,,idmc-gidd-events,MWI,34,,,,,,,idmc-idu-events,URY,34,,pdc-events,ESP,48,,gdacs-events,GIN,230,,emdat-events,COM,38,,,,
gfd-events, AGO,9,,ifrcevent-events,BRA,13,,,glide-events,SSD,29,,,idmc-gidd-events,KOR,26,,,,,,,idmc-idu-events,AUT,11,,pdc-events,CHL,65,,gdacs-events,SLE,131,,emdat-events,TCD,46,,,,
gfd-events, COG,7,,ifrcevent-events,YEM,10,,,glide-events,EGY,57,,,idmc-gidd-events,THA,19,,,,,,,idmc-idu-events,AUS,118,,pdc-events,CHE,20,,gdacs-events,ISR,20,,emdat-events,ARM,22,,,,
gfd-events, NAM,15,,ifrcevent-events,MOZ,35,,,glide-events,SEN,35,,,idmc-gidd-events,IRL,4,,,,,,,idmc-idu-events,SYR,111,,pdc-events,FRA,21,,gdacs-events,LKA,68,,emdat-events,COD,273,,,,
gfd-events, BWA,12,,ifrcevent-events,MDG,26,,,glide-events,TUR,66,,,idmc-gidd-events,TWN,6,,,,,,,idmc-idu-events,NIC,20,,pdc-events,BEL,5,,gdacs-events,NIC,106,,emdat-events,ZAF,325,,,,
gfd-events, PER,30,,ifrcevent-events,KAZ,10,,,glide-events,BIH,25,,,idmc-gidd-events,TUR,59,,,,,,,idmc-idu-events,BDI,609,,pdc-events,PNG,54,,gdacs-events,SLV,77,,emdat-events,MYS,145,,,,
gfd-events, CHL,9,,ifrcevent-events,URY,5,,,glide-events,GHA,34,,,idmc-gidd-events,ZWE,23,,,,,,,idmc-idu-events,COG,9,,pdc-events,LAO,83,,gdacs-events,BLZ,15,,emdat-events,ETH,139,,,,
gfd-events, CUB,4,,ifrcevent-events,BFA,23,,,glide-events,DZA,43,,,idmc-gidd-events,CMR,22,,,,,,,idmc-idu-events,NZL,88,,pdc-events,VNM,76,,gdacs-events,HND,80,,emdat-events,IRN,434,,,,
gfd-events, BHS,2,,ifrcevent-events,COM,5,,,glide-events,GRC,34,,,idmc-gidd-events,PRT,23,,,,,,,idmc-idu-events,GNB,4,,pdc-events,MYS,51,,gdacs-events,PRT,95,,emdat-events,CHE,80,,,,
gfd-events, DOM,4,,ifrcevent-events,BIH,17,,,glide-events,RWA,28,,,idmc-gidd-events,VEN,18,,,,,,,idmc-idu-events,CMR,24,,pdc-events,VEN,98,,gdacs-events,TWN,125,,emdat-events,AUS,256,,,,
gfd-events, HTI,11,,ifrcevent-events,MHL,3,,,glide-events,SLE,18,,,idmc-gidd-events,BLZ,3,,,,,,,idmc-idu-events,BRA,881,,pdc-events,ECU,121,,gdacs-events,TTO,19,,emdat-events,SOM,108,,,,
gfd-events, TCA,3,,ifrcevent-events,ZMB,25,,,glide-events,PRT,13,,,idmc-gidd-events,JPN,22,,,,,,,idmc-idu-events,CHE,24,,pdc-events,NIC,63,,gdacs-events,ESP,124,,emdat-events,ISR,29,,,,
gfd-events,CHN,170,,ifrcevent-events,GIN,24,,,glide-events,AUT,10,,,idmc-gidd-events,HKG,2,,,,,,,idmc-idu-events,GHA,53,,pdc-events,MMR,228,,gdacs-events,GRD,3,,emdat-events,ECU,157,,,,
gfd-events, HKG,6,,ifrcevent-events,MDV,3,,,glide-events,KEN,109,,,idmc-gidd-events,KAZ,11,,,,,,,idmc-idu-events,TZA,45,,pdc-events,GUY,47,,gdacs-events,LBN,12,,emdat-events,TJK,75,,,,
gfd-events, MAC,6,,ifrcevent-events,FSM,3,,,glide-events,KHM,51,,,idmc-gidd-events,GTM,170,,,,,,,idmc-idu-events,PNG,54,,pdc-events,SUR,27,,gdacs-events,PER,213,,emdat-events,DOM,100,,,,
gfd-events, MMR,47,,ifrcevent-events,DOM,18,,,glide-events,TCD,40,,,idmc-gidd-events,SSD,90,,,,,,,idmc-idu-events,PER,939,,pdc-events,KGZ,31,,gdacs-events,VEN,168,,emdat-events,HRV,40,,,,
gfd-events,COL,13,,ifrcevent-events,FJI,17,,,glide-events,CMR,43,,,idmc-gidd-events,BIH,5,,,,,,,idmc-idu-events,ISR,14,,pdc-events,PRK,20,,gdacs-events,GUM,40,,emdat-events,BIH,36,,,,
gfd-events,DEU,2,,ifrcevent-events,MNG,17,,,glide-events,PAK,124,,,idmc-gidd-events,PAN,8,,,,,,,idmc-idu-events,DZA,26,,pdc-events,SAU,6,,gdacs-events,TUN,19,,emdat-events,MKD,32,,,,
gfd-events, CZE,10,,ifrcevent-events,ISL,1,,,glide-events,BRA,73,,,idmc-gidd-events,DJI,1,,,,,,,idmc-idu-events,TJK,20,,pdc-events,YEM,4,,gdacs-events,CMR,217,,emdat-events,MWI,89,,,,
gfd-events, DNK,2,,ifrcevent-events,MEX,17,,,glide-events,BGD,156,,,idmc-gidd-events,NOR,17,,,,,,,idmc-idu-events,NLD,5,,pdc-events,PAK,54,,gdacs-events,JAM,19,,emdat-events,MOZ,130,,,,
gfd-events, NLD,3,,ifrcevent-events,LKA,27,,,glide-events,NGA,185,,,idmc-gidd-events,MMR,214,,,,,,,idmc-idu-events,RWA,29,,pdc-events,AFG,4,,gdacs-events,DOM,74,,emdat-events,MDG,112,,,,
gfd-events,PHL,42,,ifrcevent-events,LBY,1,,,glide-events,ALB,19,,,idmc-gidd-events,SLE,3,,,,,,,idmc-idu-events,NAM,13,,pdc-events,PHL,92,,gdacs-events,NGA,353,,emdat-events,BOL,156,,,,
gfd-events, BTN,42,,ifrcevent-events,MLI,21,,,glide-events,BTN,12,,,idmc-gidd-events,CYP,13,,,,,,,idmc-idu-events,TON,4,,pdc-events,NPL,65,,gdacs-events,PAN,61,,emdat-events,REU,19,,,,
gfd-events,KEN,8,,ifrcevent-events,MAR,18,,,glide-events,BDI,41,,,idmc-gidd-events,ECU,158,,,,,,,idmc-idu-events,XKX,6,,pdc-events,THA,72,,gdacs-events,CYP,8,,emdat-events,GEO,40,,,,
gfd-events,CHL,4,,ifrcevent-events,NER,29,,,glide-events,YEM,48,,,idmc-gidd-events,TON,4,,,,,,,idmc-idu-events,BIH,15,,pdc-events,UKR,10,,gdacs-events,NOR,17,,emdat-events,BWA,23,,,,
gfd-events,NZL,7,,ifrcevent-events,IDN,34,,,glide-events,TJK,68,,,idmc-gidd-events,BHS,1,,,,,,,idmc-idu-events,MWI,28,,pdc-events,HUN,7,,gdacs-events,COG,14,,emdat-events,LBY,79,,,,
gfd-events,AGO,9,,ifrcevent-events,MRT,22,,,glide-events,SDN,70,,,idmc-gidd-events,FRA,41,,,,,,,idmc-idu-events,NOR,25,,pdc-events,SLB,11,,gdacs-events,DZA,98,,emdat-events,SSD,26,,,,
gfd-events, ZAF,3,,ifrcevent-events,SYR,8,,,glide-events,TGO,18,,,idmc-gidd-events,TGO,1,,,,,,,idmc-idu-events,KHM,124,,pdc-events,JPN,123,,gdacs-events,URY,30,,emdat-events,ESP,181,,,,
